iso3,iso2,display_name,official_name,release_id,place_id_candidate,current_coverage_status,current_visible_country_fields_layers,missing_required_inputs,proposed_promotion_status_after_research,reason_if_still_not_promotable,live_site_basis
DOM,DO,Dominican Republic,,release-candidate-2026-07-07.country-context.v0,country:DOM,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
DZA,DZ,Algeria,People's Democratic Republic of Algeria,release-candidate-2026-07-07.country-context.v0,country:DZA,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
ECU,EC,Ecuador,Republic of Ecuador,release-candidate-2026-07-07.country-context.v0,country:ECU,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
EGY,EG,Egypt,Arab Republic of Egypt,release-candidate-2026-07-07.country-context.v0,country:EGY,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
ERI,ER,Eritrea,the State of Eritrea,release-candidate-2026-07-07.country-context.v0,country:ERI,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
ESH,EH,Western Sahara,,release-candidate-2026-07-07.country-context.v0,country:ESH,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
ESP,ES,Spain,Kingdom of Spain,release-candidate-2026-07-07.country-context.v0,country:ESP,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
EST,EE,Estonia,Republic of Estonia,release-candidate-2026-07-07.country-context.v0,country:EST,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
ETH,ET,Ethiopia,Federal Democratic Republic of Ethiopia,release-candidate-2026-07-07.country-context.v0,country:ETH,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
FIN,FI,Finland,Republic of Finland,release-candidate-2026-07-07.country-context.v0,country:FIN,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
FJI,FJ,Fiji,Republic of Fiji,release-candidate-2026-07-07.country-context.v0,country:FJI,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
FLK,FK,Falkland Islands (Malvinas),,release-candidate-2026-07-07.country-context.v0,country:FLK,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
FRA,FR,France,French Republic,release-candidate-2026-07-07.country-context.v0,country:FRA,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
FRO,FO,Faroe Islands,,release-candidate-2026-07-07.country-context.v0,country:FRO,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
FSM,FM,"Micronesia, Federated States of",Federated States of Micronesia,release-candidate-2026-07-07.country-context.v0,country:FSM,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GAB,GA,Gabon,Gabonese Republic,release-candidate-2026-07-07.country-context.v0,country:GAB,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GBR,GB,United Kingdom,United Kingdom of Great Britain and Northern Ireland,release-candidate-2026-07-07.country-context.v0,country:GBR,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GEO,GE,Georgia,,release-candidate-2026-07-07.country-context.v0,country:GEO,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GGY,GG,Guernsey,,release-candidate-2026-07-07.country-context.v0,country:GGY,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GHA,GH,Ghana,Republic of Ghana,release-candidate-2026-07-07.country-context.v0,country:GHA,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GIB,GI,Gibraltar,,release-candidate-2026-07-07.country-context.v0,country:GIB,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GIN,GN,Guinea,Republic of Guinea,release-candidate-2026-07-07.country-context.v0,country:GIN,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GLP,GP,Guadeloupe,,release-candidate-2026-07-07.country-context.v0,country:GLP,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GMB,GM,Gambia,Republic of the Gambia,release-candidate-2026-07-07.country-context.v0,country:GMB,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GNB,GW,Guinea-Bissau,Republic of Guinea-Bissau,release-candidate-2026-07-07.country-context.v0,country:GNB,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GNQ,GQ,Equatorial Guinea,Republic of Equatorial Guinea,release-candidate-2026-07-07.country-context.v0,country:GNQ,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GRC,GR,Greece,Hellenic Republic,release-candidate-2026-07-07.country-context.v0,country:GRC,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GRD,GD,Grenada,,release-candidate-2026-07-07.country-context.v0,country:GRD,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GRL,GL,Greenland,,release-candidate-2026-07-07.country-context.v0,country:GRL,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GTM,GT,Guatemala,Republic of Guatemala,release-candidate-2026-07-07.country-context.v0,country:GTM,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GUF,GF,French Guiana,,release-candidate-2026-07-07.country-context.v0,country:GUF,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GUM,GU,Guam,,release-candidate-2026-07-07.country-context.v0,country:GUM,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
GUY,GY,Guyana,Republic of Guyana,release-candidate-2026-07-07.country-context.v0,country:GUY,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
HKG,HK,Hong Kong,Hong Kong Special Administrative Region of China,release-candidate-2026-07-07.country-context.v0,country:HKG,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
HMD,HM,Heard Island and McDonald Islands,,release-candidate-2026-07-07.country-context.v0,country:HMD,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
HND,HN,Honduras,Republic of Honduras,release-candidate-2026-07-07.country-context.v0,country:HND,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
HRV,HR,Croatia,Republic of Croatia,release-candidate-2026-07-07.country-context.v0,country:HRV,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
HTI,HT,Haiti,Republic of Haiti,release-candidate-2026-07-07.country-context.v0,country:HTI,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
HUN,HU,Hungary,Hungary,release-candidate-2026-07-07.country-context.v0,country:HUN,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
IDN,ID,Indonesia,Republic of Indonesia,release-candidate-2026-07-07.country-context.v0,country:IDN,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
IMN,IM,Isle of Man,,release-candidate-2026-07-07.country-context.v0,country:IMN,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
IND,IN,India,Republic of India,release-candidate-2026-07-07.country-context.v0,country:IND,canonical_country_profile_present_on_live_site,canonical country measurement profile; exact layers must be verified from release artifacts before modification,,retain_and_revalidate_against_new_source_snapshots,live site states Brazil and India currently have canonical country measurement profiles,"homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
IOT,IO,British Indian Ocean Territory,,release-candidate-2026-07-07.country-context.v0,country:IOT,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
IRL,IE,Ireland,,release-candidate-2026-07-07.country-context.v0,country:IRL,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
IRN,IR,"Iran, Islamic Republic of",Islamic Republic of Iran,release-candidate-2026-07-07.country-context.v0,country:IRN,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
IRQ,IQ,Iraq,Republic of Iraq,release-candidate-2026-07-07.country-context.v0,country:IRQ,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
ISL,IS,Iceland,Republic of Iceland,release-candidate-2026-07-07.country-context.v0,country:ISL,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
ISR,IL,Israel,State of Israel,release-candidate-2026-07-07.country-context.v0,country:ISR,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
ITA,IT,Italy,Italian Republic,release-candidate-2026-07-07.country-context.v0,country:ITA,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
JAM,JM,Jamaica,,release-candidate-2026-07-07.country-context.v0,country:JAM,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
JEY,JE,Jersey,,release-candidate-2026-07-07.country-context.v0,country:JEY,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
JOR,JO,Jordan,Hashemite Kingdom of Jordan,release-candidate-2026-07-07.country-context.v0,country:JOR,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
JPN,JP,Japan,,release-candidate-2026-07-07.country-context.v0,country:JPN,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
KAZ,KZ,Kazakhstan,Republic of Kazakhstan,release-candidate-2026-07-07.country-context.v0,country:KAZ,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
KEN,KE,Kenya,Republic of Kenya,release-candidate-2026-07-07.country-context.v0,country:KEN,missing_canonical_country_profile_or_only_boundary_context,country boundary/context only or not individually verified; live site states only Brazil and India have canonical country profiles,source snapshots; license verification; source vintage; reference period; method transform; comparability metadata; QA; release artifact regeneration,blocked_pending_source_snapshots_license_method_QA,"no verified source snapshots, licenses, methods, reference periods, or QA in this session; do not publish fabricated values","homepage says 2 canonical country profiles, Brazil and India, with 239 country boundary entries and 0 direct place-evidence rows"
